	CpGperGC_38	CpGperCpG_38	CpGobsExp_38	priPhyloP_38	verPhastCons_38	mamPhastCons_38	EncH3K27Ac_38	EncH3K4Me1_38	EncH3K4Me3_38	DnaseClusteredHyp_38	DnaseClusteredScore_38	Fantom5Perm_38	GerpRS_38	GerpRSpv_38	rareVar_38	commonVar_38	fracRareCommon_38	dbVARCount_38	numTFBSConserved_38	GCContent_38	priPhastCons_38	verPhyloP_38	mamPhyloP_38	ISCApath_38	DGVCount_38	Fantom5Robust_38	1	CpGobsExp_19	CpGperCpG_19	CpGperGC_19	DGVCount_19	DnaseClusteredHyp_19	DnaseClusteredScore_19	EncH3K27Ac_19	EncH3K4Me1_19	EncH3K4Me3_19	GCContent_19	GerpRS_19	GerpRSpv_19	ISCApath_19	commonVar_19	dbVARCount_19	Fantom5Perm_19	Fantom5Robust_19	fracRareCommon_19	mamPhastCons_19	mamPhyloP_19	numTFBSConserved_19	priPhastCons_19	priPhyloP_19	rareVar_19	verPhastCons_19	verPhyloP_19
CpGperGC_38	1.0	0.9891816648617818	0.9824286932863958	-0.002127373605129456	0.013913060954961023	0.009918861386623597	0.0032238388468021875	0.014651996202940902	0.01676670553854271	0.2535737897832034	0.15038031762418178	0.059251420711474906	0.05655589341607836	0.00048773598811462847	0.13462145718308177	0.06345974888580273	0.03895296505755531	0.02404673352957561	0.3831213565971349	0.20560030716890607	0.005829156274805215	-0.005206313379280063	-0.005223295978753636	0.011618366506579377	0.026405530071046096	0.05903175330405295	-0.011255724051456372	0.9461267697434212	0.9519635574427426	0.9595862741272887	0.026314047878508877	0.36449218042966464	0.2439596783162019	0.10742171204901223	0.028999521735583705	0.3514825574724511	0.2055974810149372	0.032941855536044964	0.0033844831885728468	0.016015560685782703	0.009603786205840067	0.026314047878508877	0.022848618969760395	0.008561943599713469	-0.00190389393921625	0.025901636235416036	0.00392375197075063	0.027067110849843014	0.01694225226238404	0.002928365940209544	0.020405175505918857	0.027929458446871298	0.006514157032519211
CpGperCpG_38	0.9891816648617818	1.0	0.9865591552122993	-0.0016078397369534841	0.013961223744874837	0.01050307435022971	0.0032601414275832954	0.01449018638079852	0.017005542651221266	0.25971947809822926	0.15264958688617544	0.06134880079840746	0.0559317129365409	0.0005197725537263053	0.133846114158438	0.05856246929831257	0.04016816243681125	0.022916431596608746	0.39279410545303384	0.2051940779518613	0.006301806555506908	-0.00439771010411061	-0.004425548118680371	0.011091793739383604	0.024810640817591316	0.061118727426905044	-0.010658611743641428	0.9506665960461295	0.9579351597475976	0.947090275357624	0.024730064798897177	0.37067946700939497	0.24540723162197664	0.10949981442420259	0.027483317224266446	0.3608053767832158	0.20519157309819408	0.03247803218942565	0.0035958429082251055	0.015314974263999298	0.008678337610330975	0.024730064798897177	0.0225816944082917	0.008326363909494755	-0.0024472047505325993	0.026559989925868898	0.00466246916052527	0.027758596309410084	0.017396891708894663	0.0031706371841859603	0.017604853645233048	0.027944858764433086	0.007126439348053226
CpGobsExp_38	0.9824286932863958	0.9865591552122993	1.0	-0.0020682139734575157	0.015168359479387872	0.011319248927709712	0.0033094254676999673	0.014681522135664767	0.016980745622107656	0.2584914567245081	0.15204193077695122	0.06259546739187974	0.05914923261197034	0.0004974863833495584	0.13729150213178704	0.06612699811706729	0.03890173412642587	0.02343336372406118	0.39178054319711936	0.20242943314866985	0.007146037869408	-0.004080492018519349	-0.0050936503354631095	0.011462826692299784	0.02492425026569738	0.06235758512580818	-0.010731188563604546	0.9575300668020538	0.9487132082994678	0.9427972247118597	0.024806297455875613	0.3685704860925953	0.24325780329931418	0.11158229649846077	0.02794092917219498	0.36018199644977195	0.2024271770046986	0.03484125966609338	0.003479582121920884	0.015428350977338532	0.009626695216586574	0.024806297455875613	0.022252806880761783	0.008425266173783377	-0.002184833244803832	0.027521002835959894	0.004634688946727335	0.027769351134618935	0.01827305228579377	0.0031235252405976163	0.019739513073358715	0.029293260049961894	0.007228336685324376
priPhyloP_38	-0.002127373605129456	-0.0016078397369534841	-0.0020682139734575157	1.0	0.11039798120074983	0.16642677997397978	-0.00024460952480685305	-0.0019072627956190828	-0.0017054295540197997	0.027899260674107067	0.03520679569854883	0.0001866459333832739	0.07519662481889246	0.02403730753172529	-0.12618860144326124	-0.0849191660835314	-0.007936605914128113	-0.022880061526916136	0.012500168107151561	-0.12710127709243665	0.19848751350857385	0.5972147818116286	0.8187104320809501	-0.013551788113375134	-0.03329270336238996	0.00017776653157291624	0.012561672546556133	-0.0007712633294454052	-0.000642753094087678	-0.0010095557440789034	-0.033420919249002964	0.020636846741648073	0.025901446422708557	0.017034565604808947	0.043659261501730814	0.022320626416810235	-0.12710095409164057	0.0681143874057623	0.019583467182072798	-0.018368536604945706	-0.07833614004157874	-0.033420919249002964	0.002314951814342052	0.0024089641641782213	0.04308053771198873	0.09697066636347605	0.5417050458778301	0.03254017877304177	0.14973048519725657	0.6928083471761123	-0.06112236949801397	0.0868897986779151	0.5411735891560013
verPhastCons_38	0.013913060954961023	0.013961223744874837	0.015168359479387872	0.11039798120074983	1.0	0.5582750545063749	-0.0004973360366080019	-0.0013353784445849152	-0.0005196359905326047	0.04383907537758742	0.05792328119834755	0.004721991001941496	0.3538213542748395	0.0329618630881645	-0.02593126216468635	-0.025838283744471273	0.012096607871958721	-0.020906240605153958	0.024887979963345838	-0.06286909298700788	0.48240041823082186	0.27979128897927547	0.12920651604531896	-0.014299988002584444	-0.013457442320842077	0.004728780101774022	0.00514116246174196	0.01580195018878283	0.01478949993642025	0.014769062659626568	-0.013146713724906998	0.03344807091271589	0.03991545541624529	0.006019951828829676	0.009151890556355157	0.012468681245373347	-0.06286840641529069	0.3608406181615003	0.03481832613962014	-0.015627601684018225	-0.0371178933680614	-0.013146713724906998	0.003376431640824759	0.0022417737132588776	0.025893597382523118	0.6919822406929353	0.17278447832234461	0.165653219049732	0.4627167464278806	0.09424153022654878	-0.02312010703755806	0.7100011833202483	0.20238840361619503
mamPhastCons_38	0.009918861386623597	0.01050307435022971	0.011319248927709712	0.16642677997397978	0.5582750545063749	1.0	-0.00016377793943944124	0.0015662353084504289	0.0003365764507562988	0.047702372455057054	0.062051950629849154	0.004851168846188965	0.3647845280390366	0.03130706194693242	-0.04439220037959085	-0.04781808745339125	0.022462774458044527	-0.030712904955797572	0.023251463147608672	-0.10730383795605834	0.7542596976261279	0.2225464460711474	0.19747424959234738	-0.021362247610826363	-0.027513926663161006	0.004851136816418974	0.01116232949916559	0.011452462370845866	0.010208658728122308	0.009909406492632873	-0.02716395017887902	0.033317592233712175	0.038368549439994924	0.006477592254417196	0.012597738942376889	0.01381083850328002	-0.10730494674059571	0.36816541138761905	0.038525167037749185	-0.02525400196662622	-0.06215597062221619	-0.02716395017887902	0.00267192164389217	0.0021513342122013147	0.03619743725975494	0.6188418591047338	0.1826139172870724	0.17670941765301962	0.6444852608640007	0.13997909590985202	-0.05277145573528402	0.5584705992752319	0.19420280065425646
EncH3K27Ac_38	0.0032238388468021875	0.0032601414275832954	0.0033094254676999673	-0.00024460952480685305	-0.0004973360366080019	-0.00016377793943944124	1.0	0.3899492911006972	0.8163998366290344	0.008154444422586478	0.00781180171744657	0.0008283421545420094	0.0003651618900818601	0.00030418773184654304	0.006098138635030666	0.0004420226056764858	0.0037058379863180333	-0.0015922994174392808	0.009695363256067006	0.010236411152395854	2.686970432597672e-05	-0.000546309521708725	-0.0005130548618495902	-0.0011676369270111583	-0.0023582677314855174	0.0008231644359308201	-0.0019025955406652896	0.0032849348420032256	0.00323710926122577	0.003194875894351122	-0.0023704967380647744	0.009111100081687822	0.009567374830464133	0.014129624848934876	0.015697630686072803	0.010240996634290326	0.010236443027202675	-0.00013329840785845343	0.00015666073525184653	-0.00118894549426494	-0.0008535824811199421	-0.0023704967380647744	0.0018906279400809493	0.001638710107720574	0.0006735555562804852	-0.00026972701925276804	9.10180810119088e-05	0.00010252393376458506	0.00023607111386717813	0.0005079121012725931	-0.0001223617136264911	-0.00025009931945758836	6.0771180865193155e-05
EncH3K4Me1_38	0.014651996202940902	0.01449018638079852	0.014681522135664767	-0.0019072627956190828	-0.0013353784445849152	0.0015662353084504289	0.3899492911006972	1.0	0.34682583882114604	0.05042626424633676	0.05346185687714119	0.0011271942397473073	0.0037978257497073608	0.002615361656548782	0.04554333211086331	-0.0013193278917496816	0.034422625285508136	-0.01313133880894676	0.05365706712199901	0.0868479733599931	0.00403451561579642	-0.0030088154431491053	-0.003886038857369219	-0.014806227756262332	-0.023698689447506582	0.0011193424315564932	-0.008421917702188388	0.014557201344482166	0.014400400600676402	0.014615222688707375	-0.023739472792226986	0.055537821589865165	0.06832426634566414	0.051884457623020026	0.12101420012165179	0.035956693953062856	0.08685115906048577	0.0002082149309199346	0.0022412316773441736	-0.015756255526228568	-0.01357439348768237	-0.023739472792226986	0.0075544268969791935	0.007946213364320885	0.009357400427256891	-0.0004547249307751522	0.0022740970304745375	0.0014116583840955983	0.005336166804589149	0.0037954350819608016	-0.006949685470783932	0.00015311715243468643	0.0021008830015011508
EncH3K4Me3_38	0.01676670553854271	0.017005542651221266	0.016980745622107656	-0.0017054295540197997	-0.0005196359905326047	0.0003365764507562988	0.8163998366290344	0.34682583882114604	1.0	0.02142672238778787	0.016594232997829923	0.0024931872748328696	0.0018801583996381377	0.0007290934829486843	0.01942261888949608	0.0005710470644248596	0.01275692946500602	-0.005436258926918431	0.02742648055451625	0.025343553538712964	0.00039201824668082247	-0.002511506265367299	-0.0022098772895754568	-0.005515820254843931	-0.002330893802302618	0.0024758591641507377	-0.005056219590534896	0.016800398308004262	0.016757533089652086	0.016472456292515907	-0.002334767547156873	0.02493226702767209	0.022607646254599194	0.02201067064791702	0.024815927070287864	0.03991729157892201	0.02534334030063499	0.00036123555804218723	0.0005376227660002391	-0.005439394651289423	-0.004687617910222137	-0.002334767547156873	0.0020781715000577814	0.0012912541632351439	0.0035265447862551412	0.00030670399035385927	-0.0011468828891851076	-8.284479456482204e-05	0.0012175013961089871	-0.00025326783927545463	-0.0022045546093876363	0.0005904483507371683	-0.001237364943160026
DnaseClusteredHyp_38	0.2535737897832034	0.25971947809822926	0.2584914567245081	0.027899260674107067	0.04383907537758742	0.047702372455057054	0.008154444422586478	0.05042626424633676	0.02142672238778787	1.0	0.7755240969611495	0.034834717736673855	0.07645854120486874	0.008043762249931941	0.0367114112736459	-0.01652163220548555	0.04517832877727775	-0.005042543736367137	0.5263792542345503	0.1591842218670911	0.0541390946706789	0.039720385263468216	0.026572161706293895	-0.008655466833338886	-0.01319726454335015	0.034661882937268004	-0.003918896279187687	0.25940233385395434	0.25918892563597323	0.25299142149097614	-0.013418626397083053	0.7776984735033929	0.6364242969032893	0.23675548817419556	0.3216495872338486	0.34725570827179664	0.15918292090782676	0.055775264307231946	0.014214702391464705	-0.008869614081499767	-0.027909703990604846	-0.013418626397083053	0.06318344319895457	0.05551002094620567	0.027908825785946056	0.05335704725788411	0.04667728876017563	0.041760956367738654	0.06182820377737757	0.032928951813465786	0.0009450424007182096	0.04203559062780833	0.04833696021678083
