	ParSMURF Tree	ReMM Linear	parSMURF Linear	ReMM Logistic	parSMURF Logistic	ReMM Positive Mean	parSMURF Positive Mean	ReMM Negative Mean	parSMURF Negative Mean	ReMM Correlation	parSMURF Correlation	Euclidean Distance	ParSMURF Tree Order	ReMM Linear Order	parSMURF Linear Order	ReMM Logistic Order	parSMURF Logistic Order	ReMM Positive Mean Order	parSMURF Positive Mean Order	ReMM Negative Mean Order	parSMURF Negative Mean Order	ReMM Correlation Order	parSMURF Correlation Order	Euclidean Distance Order
DnaseClusteredScore	0.001779	0.974904	1.168654	6.676015	6.622384	0.301433	0.187305	0.000066	0.000032	0.542036	0.467822	6.267820	18	25	22	2	3	1	2	1	3	2	2	1
Fantom5Perm	0.013108	203.582844	0.814494	0.000276	4.220452	0.000012	0.136884	0.000000	0.000006	0.049449	0.333895	6.148690	7	8	24	25	7	25	3	16	6	25	17	2
Fantom5Robust	0.003896	204.962308	0.774169	0.000278	3.672037	0.000012	0.107902	0.000000	0.000005	0.049772	0.289016	5.528900	14	7	25	24	8	24	4	18	8	24	22	3
GerpRS	0.010545	1.206787	1.066044	7.892273	7.500022	0.290489	0.374350	0.000025	0.000041	0.592055	0.631689	5.186170	12	24	23	1	2	2	1	2	2	1	1	4
rareVar	0.003663	4.999701	1.967940	5.049766	8.327078	0.032138	0.089320	0.000014	0.000060	0.400764	0.419116	2.395210	15	23	21	3	1	3	5	3	1	9	6	5
ISCApath	0.000827	6.982339	2.106932	3.516553	5.330187	0.019836	0.051783	0.000009	0.000018	0.372071	0.330250	1.562130	23	21	20	7	6	7	6	4	5	13	18	6
dbVARCount	0.001279	15.670312	4.445269	0.561753	6.285752	0.002801	0.045590	0.000001	0.000026	0.209438	0.450048	1.502300	20	14	18	13	4	12	7	11	4	23	3	7
numTFBSConserved	0.022238	238.895956	5.459006	0.067383	5.677295	0.000332	0.037030	0.000000	0.000001	0.281785	0.449603	1.280770	3	6	17	22	5	22	8	22	14	20	4	8
EncH3K4Me3	0.000753	5.276565	8.363472	4.437886	1.349235	0.027166	0.006945	0.000002	0.000003	0.378595	0.240958	1.077110	24	22	16	4	14	4	14	9	10	12	23	9
EncH3K27Ac	0.000891	7.826366	10.203466	3.914003	1.667300	0.022008	0.008587	0.000004	0.000003	0.414984	0.295942	0.797320	22	20	15	6	12	6	12	5	9	8	20	10
commonVar	0.001615	13.745211	3.764295	1.430071	2.035567	0.007253	0.011566	0.000003	0.000006	0.315688	0.208610	0.615500	19	16	19	10	11	10	11	7	7	19	25	11
DnaseClusteredHyp	0.002730	8.534155	11.476862	4.330611	2.500985	0.024473	0.013063	0.000002	0.000001	0.456981	0.387174	0.531840	17	19	13	5	9	5	9	8	13	5	9	12
EncH3K4Me1	0.000927	9.590267	15.178946	2.111607	1.561451	0.011031	0.007917	0.000003	0.000003	0.325207	0.346598	0.444200	21	18	12	9	13	9	13	6	11	18	16	13
verPhyloP	0.017868	158.050874	96.906825	0.258430	0.381111	0.001276	0.001883	-0.000000	-0.000000	0.449203	0.427265	0.038490	5	10	9	14	17	14	17	24	24	6	5	14
mamPhyloP	0.071404	123.014351	151.578817	0.213378	0.113571	0.001054	0.000561	-0.000000	-0.000000	0.360102	0.291588	0.035050	2	12	8	15	21	15	21	25	26	17	21	15
priPhyloP	0.104858	140.453417	213.575332	0.072710	0.084068	0.000359	0.000415	-0.000000	-0.000000	0.224574	0.297774	0.019370	1	11	6	21	24	21	24	26	25	21	19	16
mamPhastCons	0.012890	425.463312	254.884169	0.106351	0.108085	0.000525	0.000534	0.000000	0.000000	0.472706	0.368854	0.016320	8	3	4	18	23	18	23	21	22	4	12	17
verPhastCons	0.009484	480.987800	245.321607	0.102990	0.116925	0.000509	0.000577	0.000000	0.000000	0.494598	0.376376	0.015590	13	2	5	19	19	19	19	17	20	3	10	18
fracRareCommon	0.003084	178.640814	162.755772	0.174255	0.163490	0.000861	0.000808	0.000000	0.000000	0.392026	0.362538	0.014330	16	9	7	16	18	16	18	13	16	11	13	19
CpGperGC	0.011402	10.570420	10.562763	2.482539	2.483158	0.013022	0.013026	0.000001	0.000001	0.371002	0.370925	0.011070	10	17	14	8	10	8	10	12	15	14	11	20
priPhastCons	0.018976	417.856946	275.449381	0.093665	0.110236	0.000462	0.000544	0.000000	0.000000	0.439386	0.387240	0.010900	4	4	3	20	22	20	22	20	21	7	8	21
CpGperCpG	0.012493	35.560086	35.578799	0.743371	0.742823	0.003690	0.003688	0.000000	0.000000	0.362250	0.362210	0.003940	9	13	10	11	15	11	15	14	17	16	14	22
DGVCount	0.000525	15.670312	15.723360	0.561753	0.558660	0.002801	0.002785	0.000001	0.000001	0.209438	0.209206	0.003690	25	15	11	12	16	13	16	10	12	22	24	23
CpGobsExp	0.013190	740.833875	740.246979	0.036011	0.035890	0.000177	0.000177	0.000000	0.000000	0.362493	0.361738	0.000170	6	1	1	23	25	23	25	19	19	15	15	24
GCContent	0.010985	278.998894	278.998894	0.116060	0.116060	0.000573	0.000573	0.000000	0.000000	0.399889	0.399889	0.000000	11	5	2	17	20	17	20	15	18	10	7	25
GerpRSpv	0.000313	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000			0.000000	26	26	26	26	26	26	26	23	23	26	26	26
