	ParSMURF Tree	ReMM Linear	parSMURF Linear	ReMM Logistic	parSMURF Logistic	ReMM Positive Mean	parSMURF Positive Mean	ReMM Negative Mean	parSMURF Negative Mean	ReMM Correlation	parSMURF Correlation	Euclidean Distance	ParSMURF Tree Order	ReMM Linear Order	parSMURF Linear Order	ReMM Logistic Order	parSMURF Logistic Order	ReMM Positive Mean Order	parSMURF Positive Mean Order	ReMM Negative Mean Order	parSMURF Negative Mean Order	ReMM Correlation Order	parSMURF Correlation Order	Euclidean Distance Order
Fantom5Robust	0.003896	0.022856	0.000000	0.102579	0.019360	0.019802	59783.574257	0.061775	79.895636	-0.002120	0.055542	15319937.334600	14	13	23	13	17	24	1	17	4	24	21	1
Fantom5Perm	0.013108	0.016976	0.000000	0.068441	0.114096	0.019802	59646.012376	0.409687	80.810464	-0.014220	0.055413	15319757.628860	7	15	24	16	11	25	2	14	3	25	22	2
GerpRS	0.010545	0.000168	0.000125	0.004325	0.002677	862.127723	1193.392822	50.799609	84.641927	0.369327	0.371748	18696.931050	12	25	22	23	23	1	3	2	1	15	14	3
DnaseClusteredScore	0.001779	0.000674	0.000622	0.003811	0.003689	550.071782	388.579208	66.535464	51.150641	0.571034	0.457983	8408.792990	18	24	21	24	22	2	4	1	5	7	12	4
rareVar	0.003663	0.004707	0.000975	0.023644	0.004089	30.722772	100.363861	24.784717	83.366695	0.167184	0.128631	2533.528840	15	20	20	19	21	6	5	3	2	20	18	5
ISCApath	0.000827	0.003807	0.001201	0.017865	0.005680	26.715347	72.349010	14.156375	32.589155	0.218336	0.218460	2034.692760	23	23	19	22	20	7	6	4	6	19	16	6
numTFBSConserved	0.022238	0.212673	0.004792	2.452243	0.168838	0.571782	59.668317	0.012168	1.586342	0.344972	0.527561	1785.003380	3	10	15	8	10	20	7	21	14	16	8	7
dbVARCount	0.001279	0.004665	0.002793	0.018955	0.014194	2.504950	55.787129	2.315292	30.417644	0.029713	0.266125	1784.439150	20	21	17	21	19	13	8	11	7	23	15	8
EncH3K4Me3	0.000753	0.005227	0.001946	0.105962	0.021320	40.640000	7.991881	4.251446	4.525388	0.436049	0.081871	1415.754510	24	18	18	12	15	4	13	8	11	13	20	9
EncH3K27Ac	0.000891	0.005154	0.002944	0.064719	0.017169	33.305347	10.047228	5.626405	5.682136	0.377224	0.112960	1215.999570	22	19	16	17	18	5	11	6	9	14	19	10
DnaseClusteredHyp	0.002730	0.005551	0.006596	0.046295	0.053086	49.861386	29.418317	2.841039	2.085908	0.510902	0.424596	794.848530	17	17	13	18	13	3	9	9	13	9	13	11
EncH3K4Me1	0.000927	0.017203	0.008743	0.088839	0.041660	9.449010	8.108119	5.189564	5.355381	0.270231	0.154947	317.688180	21	14	12	14	14	9	12	7	10	18	17	12
commonVar	0.001615	-0.015298	-0.004458	-0.063024	-0.019948	5.702970	7.037129	6.742372	8.405651	-0.126037	-0.077578	197.102580	19	26	25	26	25	11	15	5	8	26	25	13
CpGperGC	0.011402	0.009341	0.009175	0.082086	0.080194	25.461881	25.038861	0.406215	0.427461	0.483790	0.475200	126.638940	10	16	11	15	12	8	10	15	16	10	9	14
verPhyloP	0.017868	0.175319	0.118024	1.780029	1.416446	1.804304	2.740017	-0.915020	-0.887663	0.690419	0.654302	39.280240	5	11	9	10	8	14	16	24	24	6	6	15
CpGperCpG	0.012493	0.032542	0.031849	0.285993	0.277916	7.205198	7.106436	0.112405	0.119818	0.480424	0.471716	32.634340	9	12	10	11	9	10	14	16	18	12	11	16
mamPhyloP	0.071404	0.220658	0.286337	1.791568	2.815396	1.329144	0.724406	-0.978398	-0.978115	0.713456	0.697809	29.420870	2	9	8	9	7	15	19	25	25	3	4	17
priPhyloP	0.104858	0.342469	0.340842	4.065468	4.097874	0.377257	0.471931	-1.206809	-1.044633	0.736077	0.718465	16.504250	1	8	7	7	5	22	24	26	26	1	1	18
fracRareCommon	0.003084	1.592163	-0.457348	4.156608	-2.001617	0.843277	0.782965	0.789018	0.899158	0.293761	-0.230521	7.741980	16	3	26	5	26	16	18	12	15	17	26	19
DGVCount	0.000525	0.004665	0.004992	0.018955	0.020284	2.504950	2.497525	2.315292	2.298248	0.029713	0.031516	6.906360	25	22	14	20	16	12	17	10	12	22	24	20
mamPhastCons	0.012890	0.786532	0.781916	4.695704	4.490663	0.698166	0.666262	0.032233	0.047661	0.723723	0.695480	5.383100	8	5	4	3	3	17	22	20	20	2	5	21
verPhastCons	0.009484	0.769953	0.761781	4.434803	4.358974	0.696188	0.701656	0.040620	0.036875	0.710460	0.711628	5.059800	13	6	5	4	4	18	20	19	21	4	3	22
priPhastCons	0.018976	0.875679	0.820678	5.718329	4.794082	0.593297	0.674287	0.045030	0.055627	0.692894	0.712543	5.005180	4	4	3	2	2	19	21	18	19	5	2	23
CpGobsExp	0.013190	0.680196	0.677402	4.071557	4.021290	0.346782	0.336337	0.005378	0.005711	0.481890	0.473246	1.766100	6	7	6	6	6	23	25	22	22	11	10	24
GCContent	0.010985	2.144146	2.144095	7.522230	7.522089	0.563178	0.563178	0.414631	0.414632	0.564321	0.564313	0.003820	11	2	2	1	1	21	23	13	17	8	7	25
GerpRSpv	0.000313	391392.558202	49596.020170	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076651	0.031895	0.000010	26	1	1	25	24	26	26	23	23	21	23	26
